order_id,customer_id,product_category,product_price,quantity,total_amount,payment_type,order_date,region
O000000,C01126,Sports,336.94,1,336.94,UPI,2023-04-14 00:00:00,West
O000001,C01459,Sports,447.72,4,1790.88,Card,2024-05-20 09:00:00,North
O000002,C00860,Home,33.3,3,99.9,UPI,2023-06-12 20:00:00,South
O000003,C01294,Clothing,300.5,3,901.5,Card,2023-07-12 04:00:00,North
O000004,C01130,Clothing,286.68,4,1146.72,UPI,2024-07-21 22:00:00,South
O000005,C01095,Beauty,22.66,2,45.32,Card,2024-07-19 11:00:00,East
O000006,C01724,Electronics,259.19,5,1295.95,Card,2023-09-29 10:00:00,North
O000007,C01044,Sports,306.71,5,1533.55,Card,2024-09-01 16:00:00,West
O000008,C01638,Beauty,99.69,5,498.45,Card,2024-05-11 11:00:00,East
O000009,C00121,Home,140.3,1,140.3,Card,2024-10-04 06:00:00,East
O000010,C00466,Sports,321.97,5,1609.85,Card,2023-04-24 03:00:00,North
O000011,C01238,Electronics,236.81,5,1184.05,Cash,2024-11-08 14:00:00,North
O000012,C00330,Clothing,429.72,5,2148.6,UPI,2023-08-31 11:00:00,East
O000013,C01482,Books,174.48,3,523.44,UPI,2023-08-09 20:00:00,West
O000014,C00087,Sports,137.0,4,548.0,Card,2024-05-10 16:00:00,West
O000015,C01396,Sports,492.51,2,985.02,Card,2023-05-21 19:00:00,East
O000016,C01123,Electronics,456.01,4,1824.04,Card,2024-07-07 19:00:00,North
O000017,C00871,Electronics,19.35,5,96.75,UPI,2024-01-06 01:00:00,North
O000018,C01687,Beauty,386.51,2,773.02,Card,2024-11-05 01:00:00,West
O000019,C00130,Clothing,59.62,2,119.24,UPI,2024-11-06 23:00:00,North
O000020,C01685,Home,18.61,4,74.44,Card,2023-04-01 10:00:00,East
O000021,C01332,Electronics,140.48,4,561.92,Cash,2024-06-15 22:00:00,South
O000022,C00769,Home,138.33,4,553.32,Card,2024-05-26 20:00:00,South
O000023,C00343,Beauty,410.56,4,1642.24,Card,2024-06-19 07:00:00,South
O000024,C01515,Sports,356.78,1,356.78,UPI,2024-06-15 11:00:00,West
O000025,C01437,Electronics,490.9,3,1472.7,Cash,2023-09-21 13:00:00,West
O000026,C00805,Sports,357.2,3,1071.6,UPI,2023-08-15 01:00:00,West
O000027,C00385,Home,212.04,5,1060.2,Card,2023-04-27 16:00:00,South
O000028,C01215,Clothing,350.97,1,350.97,UPI,2023-04-06 23:00:00,North
O000029,C00955,Books,499.73,2,999.46,Cash,2024-10-22 23:00:00,West
O000030,C00276,Home,356.52,4,1426.08,Card,2024-11-22 12:00:00,North
O000031,C01184,Books,382.03,5,1910.15,Card,2023-07-28 02:00:00,South
O000032,C00459,Home,469.49,2,938.98,Wallet,2023-02-25 00:00:00,North
O000033,C01337,Electronics,61.26,3,183.78,Wallet,2024-03-11 19:00:00,South
O000034,C00021,Clothing,353.87,2,707.74,UPI,2024-03-25 03:00:00,South
O000035,C00252,Electronics,426.15,4,1704.6,Cash,2024-08-28 14:00:00,West
O000036,C00747,Beauty,477.42,4,1909.68,Card,2023-02-20 14:00:00,West
O000037,C00856,Home,109.43,3,328.29,UPI,2023-12-13 16:00:00,South
O000038,C01584,Home,254.44,4,1017.76,UPI,2024-01-21 08:00:00,North
O000039,C00474,Clothing,341.87,1,341.87,UPI,2024-03-23 18:00:00,East
O000040,C01082,Electronics,127.5,5,637.5,UPI,2024-11-13 13:00:00,South
O000041,C00510,Home,302.23,3,906.69,Cash,2023-09-21 21:00:00,West
O000042,C01705,Sports,132.5,3,397.5,Card,2024-08-01 23:00:00,North
O000043,C01499,Electronics,170.06,2,340.12,Card,2024-12-29 18:00:00,North
O000044,C00699,Home,223.55,3,670.65,Card,2024-07-13 09:00:00,East
O000045,C00975,Electronics,266.95,5,1334.75,UPI,2024-09-21 15:00:00,East
O000046,C01806,Clothing,227.44,1,227.44,Card,2024-01-11 04:00:00,South
O000047,C00189,Sports,249.13,2,498.26,Wallet,2023-05-15 16:00:00,North
O000048,C00957,Electronics,152.8,5,764.0,Card,2023-06-11 13:00:00,South
O000049,C00686,Beauty,83.69,3,251.07,Card,2023-11-14 06:00:00,South
O000050,C00957,Electronics,28.44,4,113.76,UPI,2023-11-01 11:00:00,North
O000051,C00562,Electronics,102.01,4,408.04,UPI,2023-05-01 02:00:00,West
O000052,C01899,Electronics,293.06,5,1465.3,Card,2023-01-15 23:00:00,North
O000053,C01590,Home,394.13,1,394.13,UPI,2023-01-05 02:00:00,South
O000054,C01267,Clothing,88.78,4,355.12,Card,2023-11-02 14:00:00,East
O000055,C00831,Sports,58.73,5,293.65,Card,2024-05-12 06:00:00,North
