order_id,customer_id,product_id,order_date,quantity,price,region,status
O100000,C00861,P001,2023-09-04,1,19.35,North,SHIPPED
O100001,C01295,P003,2023-03-09,5,9.59,South,PLACED
O100002,C01131,P002,2023-11-22,2,27.49,South,SHIPPED
O100003,C01096,P001,2023-11-30,1,21.44,Central,PLACED
O100004,C01639,P001,2023-07-15,1,20.44,Central,PLACED
O100005,C02170,P004,2023-03-31,1,14.8,North,SHIPPED
O100006,C00467,P001,2023-04-21,1,19.81,North,PLACED
O100007,C01239,P002,2023-12-25,3,30.21,South,SHIPPED
O100008,C00331,P005,2023-05-25,1,51.29,Central,PLACED
O100009,C01483,P001,2023-10-02,1,20.15,Central,PLACED
O100010,C02136,P002,2023-06-28,1,34.16,Central,PLACED
O100011,C02920,P004,2023-08-29,1,15.59,South,PLACED
O100012,C00131,P004,2023-11-22,1,14.4,Central,PLACED
O100013,C01686,P003,2023-11-15,5,10.35,North,RETURNED
O100014,C00770,P002,2023-11-27,1,30.32,West,CANCELLED
O100015,C02392,P003,2023-06-02,1,9.87,East,PLACED
O100016,C01516,P002,2023-04-14,1,28.3,South,PLACED
O100017,C02854,P003,2023-03-16,1,10.16,North,PLACED
O100018,C02434,P001,2023-05-08,1,20.57,West,CANCELLED
O100019,C01216,P001,2023-07-18,2,20.71,East,PLACED
O100020,C00956,P003,2023-06-03,1,9.82,Central,CANCELLED
O100021,C02325,P003,2023-02-25,1,9.99,North,PLACED
O100022,C01185,P004,2023-10-05,1,16.6,Central,PLACED
O100023,C00460,P001,2023-12-11,1,20.24,West,PLACED
O100024,C00022,P001,2023-01-19,3,19.09,Central,PLACED
O100025,C02301,P003,2023-06-08,1,9.5,Central,PLACED
O100026,C00748,P003,2023-01-26,1,10.34,Central,PLACED
O100027,C02905,P002,2023-06-18,1,31.4,North,PLACED
O100028,C00475,P001,2023-01-23,1,18.39,South,PLACED
O100029,C01083,P003,2023-02-16,1,9.8,North,SHIPPED
O100030,C02559,P002,2023-01-13,1,29.78,North,PLACED
O100031,C02048,P004,2023-08-05,1,14.63,East,PLACED
O100032,C02748,P004,2023-11-18,1,16.34,East,SHIPPED
O100033,C00976,P002,2023-07-13,1,30.25,East,PLACED
O100034,C01807,P003,2023-05-24,1,9.87,South,SHIPPED
O100035,C00190,P003,2023-03-14,1,10.04,North,PLACED
O100036,C02735,P005,2023-06-05,1,50.15,South,SHIPPED
O100037,C00563,P005,2023-03-18,1,47.53,South,PLACED
O100038,C01900,P002,2023-06-18,3,29.63,West,PLACED
O100039,C01268,P004,2023-10-14,1,14.86,East,PLACED
O100040,C02880,P005,2023-03-26,1,50.05,South,PLACED
O100041,C01529,P003,2023-07-01,1,9.95,North,PLACED
O100042,C00647,P002,2023-11-11,2,31.68,North,PLACED
O100043,C02069,P003,2023-10-24,3,9.22,West,SHIPPED
O100044,C02889,P003,2023-04-22,1,9.92,North,PLACED
O100045,C02215,P002,2023-08-18,1,30.69,Central,PLACED
O100046,C01298,P003,2023-04-06,3,9.45,South,SHIPPED
O100047,C02436,P004,2023-06-17,1,14.58,West,PLACED
O100048,C00601,P004,2023-06-05,1,14.7,South,CANCELLED
O100049,C02364,P003,2023-04-15,1,10.09,South,PLACED
O100050,C02062,P002,2023-07-12,1,26.6,Central,SHIPPED
O100051,C00242,P005,2023-11-26,5,50.25,East,PLACED
O100052,C02042,P005,2023-05-12,1,51.62,West,PLACED
O100053,C02825,P005,2023-12-21,1,47.04,West,PLACED
O100054,C02613,P003,2023-05-18,2,10.6,South,SHIPPED
O100055,C02946,P002,2023-11-27,1,28.78,Central,PLACED
O100056,C01364,P004,2023-09-27,1,14.83,North,PLACED
O100057,C02140,P001,2023-02-07,2,19.15,North,PLACED
O100058,C01391,P002,2023-02-14,1,31.33,South,PLACED
O100059,C01479,P004,2023-06-12,1,15.35,Central,PLACED
O100060,C02557,P001,2023-11-27,1,19.34,West,PLACED
O100061,C00776,P004,2023-09-10,1,14.37,Central,PLACED
O100062,C00035,P004,2023-06-18,1,14.48,Central,CANCELLED
O100063,C02254,P003,2023-10-12,1,9.53,Central,PLACED
O100064,C01956,P001,2023-10-01,1,20.85,North,RETURNED
O100065,C01586,P005,2023-01-20,3,51.6,East,SHIPPED
O100066,C01022,P003,2023-08-27,1,9.63,North,PLACED
O100067,C02614,P003,2023-09-27,1,9.84,West,RETURNED
O100068,C01130,P002,2023-11-06,1,31.03,West,PLACED
O100069,C01501,P001,2023-01-31,1,21.75,East,PLACED
O100070,C00703,P005,2023-11-10,1,46.84,South,PLACED
O100071,C02450,P005,2023-04-14,1,50.12,North,PLACED
O100072,C02778,P003,2023-06-19,1,9.59,Central,PLACED
O100073,C01580,P005,2023-07-05,2,45.58,South,PLACED
O100074,C00162,P002,2023-05-08,1,26.79,East,PLACED
O100075,C00202,P002,2023-07-29,2,27.6,Central,SHIPPED
O100076,C01982,P005,2023-10-08,1,53.57,North,PLACED
O100077,C00996,P005,2023-09-10,1,52.79,East,PLACED
O100078,C02318,P004,2023-01-19,1,13.97,North,PLACED
O100079,C00816,P001,2023-07-19,1,22.43,East,SHIPPED
O100080,C00456,P003,2023-08-08,1,9.93,South,PLACED
O100081,C01276,P001,2023-05-16,2,20.95,South,PLACED
O100082,C01017,P005,2023-08-11,1,46.05,North,PLACED
O100083,C02344,P001,2023-01-03,1,19.66,West,SHIPPED
O100084,C02768,P001,2023-08-24,1,18.77,Central,PLACED
O100085,C00338,P002,2023-12-08,1,28.26,South,PLACED
O100086,C00879,P004,2023-08-16,1,14.3,Central,SHIPPED
O100087,C01077,P002,2023-05-22,1,31.25,East,PLACED
O100088,C00792,P005,2023-01-09,1,45.26,Central,PLACED
O100089,C02265,P004,2023-07-09,1,15.39,South,PLACED
O100090,C00764,P005,2023-12-16,1,49.83,South,PLACED
O100091,C02236,P003,2023-06-14,1,10.22,West,SHIPPED
O100092,C00380,P003,2023-05-19,1,10.63,West,PLACED
O100093,C00493,P005,2023-10-03,1,47.78,West,PLACED
O100094,C01181,P001,2023-10-18,1,19.85,South,PLACED
O100095,C02063,P002,2023-02-22,1,27.11,North,CANCELLED
O100096,C00065,P003,2023-06-24,1,9.91,North,PLACED
O100097,C02569,P005,2023-04-20,1,50.21,Central,PLACED
O100098,C01368,P002,2023-07-22,1,31.41,Central,PLACED
O100099,C01153,P002,2023-05-16,5,25.66,North,PLACED
O100100,C02028,P001,2023-01-04,1,19.96,North,SHIPPED
O100101,C02696,P002,2023-06-04,1,27.73,North,PLACED
O100102,C01496,P001,2023-06-21,1,19.52,East,PLACED
O100103,C01163,P001,2023-12-24,1,20.31,Central,PLACED
O100104,C01523,P002,2023-02-16,1,30.49,East,PLACED
O100105,C02641,P004,2023-04-04,1,15.4,South,PLACED
O100106,C00392,P005,2023-02-17,1,48.39,South,RETURNED
O100107,C01699,P005,2023-08-28,1,50.32,Central,CANCELLED
O100108,C00419,P004,2023-12-13,1,14.67,South,SHIPPED
O100109,C02337,P004,2023-08-01,1,14.79,West,SHIPPED
O100110,C00379,P002,2023-12-06,2,31.82,North,SHIPPED
O100111,C01797,P001,2023-11-20,1,21.22,West,PLACED
O100112,C02279,P003,2023-05-19,1,9.84,West,CANCELLED
O100113,C02089,P004,2023-07-24,1,15.52,West,PLACED
O100114,C02183,P001,2023-03-14,1,20.18,North,CANCELLED
O100115,C00201,P001,2023-01-04,1,19.76,West,RETURNED
O100116,C01864,P003,2023-03-17,1,10.02,North,SHIPPED
O100117,C00780,P002,2023-11-25,1,28.27,South,RETURNED
O100118,C02978,P002,2023-03-18,1,29.93,Central,PLACED
O100119,C00503,P004,2023-10-31,1,15.09,South,SHIPPED
O100120,C02455,P004,2023-09-13,1,12.61,South,SHIPPED
O100121,C01752,P003,2023-04-12,1,9.83,West,PLACED
O100122,C00805,P002,2023-04-16,1,30.36,North,PLACED
O100123,C02147,P004,2023-11-29,1,13.83,Central,PLACED
O100124,C02732,P001,2023-02-08,5,19.3,North,PLACED
O100125,C01896,P005,2023-11-10,1,46.86,North,PLACED
O100126,C02774,P001,2023-10-02,1,20.05,South,PLACED
O100127,C01571,P002,2023-03-29,1,31.44,West,PLACED
O100128,C00961,P004,2023-07-30,2,13.35,West,SHIPPED
O100129,C02661,P002,2023-03-18,5,31.86,West,PLACED
O100130,C01486,P001,2023-03-18,2,21.62,South,PLACED
O100131,C02691,P004,2023-01-28,1,15.63,North,PLACED
O100132,C01029,P004,2023-09-02,1,13.74,East,PLACED
O100133,C00503,P004,2023-03-07,1,15.63,East,PLACED
O100134,C02815,P004,2023-09-23,1,13.9,Central,CANCELLED
O100135,C00398,P004,2023-07-24,2,14.86,South,PLACED
O100136,C00871,P002,2023-02-27,1,32.82,East,PLACED
O100137,C02843,P002,2023-07-20,1,29.04,North,PLACED
O100138,C00393,P005,2023-08-13,2,52.94,Central,RETURNED
O100139,C00207,P001,2023-05-22,1,17.53,East,PLACED
O100140,C01039,P001,2023-03-25,1,20.78,North,PLACED
O100141,C01882,P005,2023-05-23,1,48.67,West,CANCELLED
O100142,C02940,P005,2023-12-18,1,47.67,Central,PLACED
O100143,C01485,P002,2023-02-02,2,31.1,North,PLACED
O100144,C00864,P005,2023-06-01,1,49.79,North,SHIPPED
O100145,C02791,P002,2023-06-07,2,29.49,North,PLACED
O100146,C00564,P005,2023-05-21,1,57.88,North,SHIPPED
O100147,C01021,P002,2023-09-08,1,30.76,West,PLACED
O100148,C00096,P001,2023-10-30,3,21.6,Central,PLACED
O100149,C01924,P002,2023-04-22,1,30.7,Central,RETURNED
O100150,C01758,P005,2023-05-24,1,48.42,North,PLACED
O100151,C02533,P005,2023-07-28,1,46.69,North,PLACED
O100152,C02279,P004,2023-08-12,1,15.76,Central,PLACED
O100153,C02797,P005,2023-02-12,1,51.82,Central,PLACED
O100154,C01679,P003,2023-09-21,1,9.95,East,SHIPPED
O100155,C00541,P002,2023-09-01,2,25.72,East,PLACED
O100156,C01060,P002,2023-01-03,2,31.46,East,PLACED
O100157,C02573,P004,2023-05-05,1,15.4,South,SHIPPED
O100158,C01184,P003,2023-09-25,1,10.2,West,SHIPPED
O100159,C01723,P003,2023-03-25,1,10.08,North,PLACED
O100160,C01820,P001,2023-01-16,2,19.87,West,SHIPPED
O100161,C02626,P005,2023-11-30,2,51.04,Central,PLACED
O100162,C02730,P001,2023-02-28,2,20.89,North,PLACED
O100163,C02605,P005,2023-06-26,1,45.75,South,SHIPPED
O100164,C01598,P005,2023-03-04,1,50.25,East,SHIPPED
O100165,C02694,P002,2023-02-18,1,30.18,East,PLACED
O100166,C00796,P001,2023-11-03,1,20.99,South,PLACED
O100167,C01052,P003,2023-09-03,1,10.58,East,PLACED
O100168,C01644,P002,2023-10-16,2,31.53,West,SHIPPED
O100169,C01364,P005,2023-10-13,1,51.85,East,PLACED
O100170,C01982,P005,2023-11-28,2,51.32,Central,PLACED
O100171,C01355,P001,2023-01-15,1,18.43,Central,PLACED
O100172,C01664,P003,2023-12-04,2,10.26,North,CANCELLED
